target,actual,predicted
position,13.0,11.655
position,9.0,4.035
position,12.0,13.565
position,18.0,18.32
position,17.0,18.55
position,2.0,4.42
position,7.0,8.27
position,4.0,17.585
position,17.0,16.74
position,20.0,18.385
position,12.0,13.23
position,18.0,18.65
position,16.0,17.305
position,10.0,7.625
position,13.0,12.92
position,4.0,8.555
position,3.0,5.115
position,20.0,18.14
position,12.0,13.975
position,10.0,7.555
position,15.0,12.765
position,8.0,5.78
position,8.0,7.745
position,8.0,4.76
position,5.0,4.37
position,6.0,8.505
position,10.0,11.635
position,18.0,16.88
position,20.0,17.655
position,9.0,3.75
position,11.0,12.97
position,14.0,12.665
position,8.0,5.305
position,14.0,13.165
position,5.0,3.29
position,8.0,6.745
position,1.0,3.375
position,12.0,13.165
position,11.0,12.605
position,5.0,4.185
position,12.0,13.295
position,2.0,2.855
position,14.0,13.21
position,16.0,17.585
position,19.0,16.78
position,1.0,3.41
position,14.0,12.89
position,12.0,13.19
position,20.0,18.62
position,15.0,12.315
position,11.0,13.66
position,9.0,8.83
position,7.0,4.56
position,17.0,16.69
position,7.0,5.335
position,1.0,4.05
position,10.0,7.29
position,11.0,13.225
position,20.0,16.865
position,5.0,3.215
position,13.0,11.59
position,5.0,5.515
position,8.0,5.905
position,14.0,17.46
position,12.0,13.74
position,18.0,16.95
position,14.0,12.49
position,9.0,8.59
position,17.0,17.43
position,4.0,7.995
position,14.0,12.65
position,17.0,17.55
position,15.0,11.73
position,9.0,8.71
position,14.0,13.625
position,20.0,17.625
position,13.0,13.0
position,6.0,3.765
position,10.0,7.12
position,18.0,18.485
position,13.0,12.405
position,2.0,3.095
position,15.0,13.09
position,18.0,16.86
position,2.0,2.865
position,4.0,5.155
position,17.0,18.195
position,18.0,16.955
position,6.0,7.35
position,4.0,5.595
position,10.0,5.505
position,14.0,12.605
position,4.0,5.675
position,16.0,18.355
position,10.0,7.895
position,9.0,7.21
position,10.0,7.585
position,12.0,12.165
position,19.0,16.795
position,6.0,8.23
position,5.0,8.785
position,11.0,13.22
position,18.0,17.165
position,8.0,7.885
position,7.0,5.96
position,13.0,12.775
position,3.0,3.36
position,12.0,12.965
position,20.0,17.205
position,16.0,18.415
position,3.0,2.06
position,12.0,13.26
position,14.0,17.495
position,4.0,4.66
position,18.0,17.76
position,13.0,12.84
position,5.0,3.815
position,20.0,17.095
position,15.0,11.8
position,14.0,13.135
position,11.0,12.465
position,10.0,7.565
position,9.0,6.695
position,5.0,3.865
position,11.0,12.72
position,12.0,12.015
position,18.0,16.64
position,16.0,18.66
position,10.0,7.7
position,15.0,12.42
position,10.0,7.95
position,6.0,7.155
position,14.0,12.105
position,12.0,12.915
position,5.0,8.725
position,15.0,12.73
position,19.0,17.95
position,13.0,13.365
position,11.0,13.35
position,19.0,17.81
position,8.0,6.405
position,4.0,3.39
position,7.0,6.985
position,10.0,12.78
position,4.0,2.385
position,16.0,16.185
position,15.0,16.49
position,4.0,5.0
position,6.0,8.575
position,15.0,13.455
position,3.0,3.465
position,11.0,12.465
position,6.0,9.745
position,9.0,5.38
position,19.0,17.245
position,10.0,7.785
position,3.0,3.335
position,19.0,17.21
position,16.0,17.175
position,6.0,3.04
position,6.0,5.47
position,11.0,13.225
position,7.0,2.915
position,18.0,17.895
position,10.0,7.195
position,4.0,6.83
position,20.0,17.83
position,17.0,17.145
position,2.0,3.44
position,10.0,7.54
position,3.0,3.325
position,3.0,6.255
position,1.0,2.435
position,5.0,6.84
position,13.0,11.885
position,3.0,8.675
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,1.0
q3,0.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
